,gasrig_count,gas_price,gaswell_count,gasimports_amount,gasconsumption_amount
2016-08-18,86.93548387096774,2.75,1471.0,249.10029032258066,2065.452709677419
2016-08-19,87.2258064516129,2.67,1471.0,248.34248387096775,2057.0455161290324
2016-08-20,87.51612903225806,2.6966666666666668,1471.0,247.58467741935485,2048.6383225806453
2016-08-21,87.80645161290323,2.723333333333333,1471.0,246.82687096774194,2040.231129032258
2016-08-22,88.09677419354838,2.75,1471.0,246.06906451612903,2031.8239354838709
2016-08-23,88.38709677419355,2.75,1471.0,245.31125806451615,2023.4167419354837
2016-08-24,88.6774193548387,2.82,1471.0,244.55345161290325,2015.0095483870969
2016-08-25,88.96774193548387,2.89,1471.0,243.79564516129034,2006.6023548387097
2016-08-26,89.25806451612904,2.91,1471.0,243.03783870967743,1998.1951612903226
2016-08-27,89.54838709677419,2.93,1471.0,242.28003225806452,1989.7879677419355
2016-08-28,89.83870967741936,2.95,1471.0,241.52222580645162,1981.3807741935484
2016-08-29,90.12903225806451,2.97,1471.0,240.7644193548387,1972.9735806451613
2016-08-30,90.41935483870968,2.95,1471.0,240.00661290322583,1964.5663870967742
2016-08-31,90.70967741935485,2.95,1471.0,239.24880645161292,1956.159193548387
2016-09-01,91.0,2.95,1471.0,238.491,1947.752
2016-09-02,91.46666666666667,2.88,1471.0,238.25626666666668,1947.0003666666667
2016-09-03,91.93333333333334,2.88,1471.0,238.02153333333334,1946.2487333333333
2016-09-04,92.4,2.88,1471.0,237.78680000000003,1945.4971
2016-09-05,92.86666666666666,2.88,1471.0,237.5520666666667,1944.7454666666665
2016-09-06,93.33333333333333,2.88,1471.0,237.31733333333335,1943.9938333333332
2016-09-07,93.8,2.77,1471.0,237.0826,1943.2422
2016-09-08,94.26666666666667,2.88,1471.0,236.84786666666668,1942.4905666666666
2016-09-09,94.73333333333333,2.93,1471.0,236.61313333333334,1941.7389333333333
2016-09-10,95.2,2.966666666666667,1471.0,236.3784,1940.9873
2016-09-11,95.66666666666667,3.0033333333333334,1471.0,236.1436666666667,1940.2356666666667
2016-09-12,96.13333333333334,3.04,1471.0,235.90893333333335,1939.4840333333334
2016-09-13,96.6,3.04,1471.0,235.6742,1938.7323999999999
2016-09-14,97.06666666666666,3.07,1471.0,235.43946666666668,1937.9807666666666
2016-09-15,97.53333333333333,2.98,1471.0,235.20473333333334,1937.2291333333333
2016-09-16,98.0,2.97,1471.0,234.97000000000003,1936.4775
2016-09-17,98.46666666666667,2.98,1471.0,234.7352666666667,1935.7258666666667
2016-09-18,98.93333333333334,2.99,1471.0,234.50053333333335,1934.9742333333334
2016-09-19,99.4,3.0,1471.0,234.2658,1934.2226
2016-09-20,99.86666666666667,3.12,1471.0,234.03106666666667,1933.4709666666665
2016-09-21,100.33333333333333,3.19,1471.0,233.79633333333334,1932.7193333333332
2016-09-22,100.8,3.18,1471.0,233.5616,1931.9677
2016-09-23,101.26666666666667,3.06,1471.0,233.3268666666667,1931.2160666666666
2016-09-24,101.73333333333333,3.06,1471.0,233.09213333333335,1930.4644333333333
2016-09-25,102.2,3.06,1471.0,232.8574,1929.7128
2016-09-26,102.66666666666667,3.06,1471.0,232.62266666666667,1928.9611666666667
2016-09-27,103.13333333333333,3.09,1471.0,232.38793333333334,1928.2095333333334
2016-09-28,103.6,3.07,1471.0,232.15320000000003,1927.4578999999999
2016-09-29,104.06666666666666,2.98,1471.0,231.9184666666667,1926.7062666666666
2016-09-30,104.53333333333333,2.84,1471.0,231.68373333333335,1925.9546333333333
2016-10-01,105.0,2.84,1471.0,231.449,1925.203
2016-10-02,105.38709677419355,2.84,1471.0,231.435935483871,1932.759193548387
2016-10-03,105.7741935483871,2.84,1471.0,231.42287096774194,1940.3153870967742
2016-10-04,106.16129032258064,2.83,1471.0,231.40980645161292,1947.8715806451612
2016-10-05,106.54838709677419,2.83,1471.0,231.39674193548387,1955.4277741935484
