,gasrig_count,gas_price,gaswell_count,gasimports_amount,gasconsumption_amount
2001-03-06,2.838709677419388,0.03666666666666618,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-07,2.838709677419388,-0.10000000000000053,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-08,2.838709677419274,-0.019999999999999574,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-09,2.838709677419388,-0.08999999999999986,0.7741935483870748,-2.5503225806451155,-28.352451612903224
2001-03-10,2.838709677419388,-0.16999999999999993,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-11,2.838709677419388,-0.09999999999999964,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-12,2.838709677419388,-0.09999999999999964,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-13,2.838709677419274,0.04999999999999982,0.7741935483873021,-2.5503225806451724,-28.352451612903224
2001-03-14,2.838709677419388,0.009999999999999787,0.7741935483870748,-2.5503225806451155,-28.352451612903224
2001-03-15,2.838709677419388,0.1899999999999995,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-16,2.838709677419274,0.27999999999999936,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-17,2.838709677419388,0.0,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-18,2.838709677419388,0.0,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-19,2.838709677419274,0.0,0.7741935483870748,-2.5503225806451155,-28.352451612903224
2001-03-20,2.838709677419388,0.0,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-21,2.838709677419388,-0.10999999999999943,0.7741935483870748,-2.5503225806451724,-28.352451612903224
2001-03-22,2.838709677419274,-0.10999999999999943,0.7741935483873021,-2.5503225806451724,-28.352451612903224
2001-03-23,2.838709677419388,0.0,0.7741935483870748,-2.5503225806451724,-28.352451612902996
2001-03-24,2.838709677419388,0.023333333333333428,0.7741935483870748,-2.5503225806451724,-28.352451612903224
